kana	english	common	part
の	of; in; at; for; by	の	p. case
に	at; on; in; to; for	に	p. case
は	TOPIC	は	p.
た	PAST	た	aux.
を	ACCUSATIVE	を	p. case
だ	COPULA	だ	aux.
が	NOMINATIVE	が	p. case
て		て	p.
と	and; or; with; if	と	p. case
ます	POLITE (after verb)	ます	aux.
も	too, also	も	p.
で	in; at; from; by	で	p. case
ている，てる	CONTINUATION	ている，てる	cp.
です	COPULA (polite)	です	aux.
れる	PASSIVE	れる	aux.
という,つう	called, named	という, つう	cp.
こと	thing	事	n.
えー,ええ	eh?, what?; well, yes	えー, ええ	interj.
いう	say, speak, talk	言う	v.
のです，んです	ASSERTION (polite)	のです，んです	cp.
あの，あのう，あのー	Excuse me; uh, eh, um, ah, er	あの，あのう，あのー	interj.
する	do; make	する	v.
まー，まあ	Wow!, Oh my God!	まー，まあ	interj.
の	POSSESSIVE	の	p.
ある	be (existence), have (possession), happen, occur	ある	v.
ね	disc. isn’t it?, don’t you?	ね	p.
ない	not	ない	aux.
なる	become, get; come to do,  start to do; turn into	なる	v.
か	disc. QUESTION	か	p.
その	that	その	adn.
けれど	though, although	けれど	conj.
から	from	から	p. case
よう	INDUCEMENT	よう	aux.
おもう	think, believe; feel; expect  私はそう思いません。 — I don’t think so.	思う	v.
で	so, then	で	conj.
か	if; or	か	p.
が		が	p.
もの	thing, object, stuff	物	n.
そう	so, such	そう	adv.
なに	what; something; anything; nothing	何	pron.
と		と	p.
わたし	I  私は寿司が好きです。 — I like sushi.	私	pron.
てしまう	end up doing  ...	てしまう	cp.
それ	that	それ	pron.
とか	and; or	とか	p.
この	this	この	adn.
ない	There is no ... , no  ...	無い	i-adj.
いく	go; come  すぐ行きます。 — I’m just coming.	行く	v.
のだ，んだ	ASSERTION	のだ，んだ	cp.
せる	CAUSATIVE	せる	aux.
これ	this	これ	pron.
もう	already; soon; again  もう寝ます。 — I’ll go to bed soo	もう	adv.
である	COPULA (formal)	である	cp.
とき	time	時	n.
な	disc. PROHIBITION	な	p.
ず	NEGATION	ず	aux.
ので，んで		ので，んで	p.
ひと	person, people, human being	人	n.
よ	disc. ASSERTION, REMINDING (informal)	よ	p.
こう	so, like this	こう	adv.
から		から	p.
ば		ば	p.
や	and; or	や	p.
くる	come  ここに来てください。 — Come here, please.	来る	v.
その	uh, er, um, mm	その	interj.
まで	to, till, until	まで	p.
みる	see; look at, watch; check	見る	v.
たり	and	たり	p.
いま	now	今	n.
よい，いい	good  彼は良い人だ。 — He is a good ma	良い，いい	i-adj.
ところ	place, point; part; aspect	所	n.
じぶん	oneself	自分	n.
ん	oh, mm, well	ん	interj.
あー	er, uh, um, hmm, ah, oh	あー	interj.
やはり，やっぱり	as (one) expected, still	やはり，やっぱり	adv.
たい	want to, like to	たい	aux.
やる	do; make; give  今すぐやります。 — I’ll do that right now.	やる	v.
なか	inside, in; into	中	n.
いる	be, exist; stay	いる	v.
できる	be ready  夕食ができましたよ。 — Dinner is ready.	できる	v.
など	and so on, etc.	など	p.
として	as	として	cp.
のち	after, later  後で電話します。 — I’ll call you later.	後	n.
また	additionally, moreover	また	adv.
ちょっと	(just) a little, a bit	ちょっと	adv.
てくる	go and  ...	てくる	cp.
だけ	only, alone, merely	だけ	p.
くらい,ぐらい	about, around	くらい, ぐらい	p.
ではない	it is not the case that  ...	ではない	cp.
えーと	well, let me see	えーと	interj.
ほう	direction, way; side	方	n.
ていく，てく	go and  ...	ていく，てく	cp.
わけ	reason, cause	訳	n.
